3	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
filterTable v2.0.2	--white inc,1_f,1_p
inc	1_f	1_p
0.0	1.0	1.68472363844e-05
1.0	1.0002	31995976.9359
2.0	1.0004	64011377.3414
3.0	1.0006	96046133.204
4.0	1.0008	128100277.801
5.0	1.001	160173801.338
6.0	1.0012	192266715.237
7.0	1.0014	224379032.69
8.0	1.0016	256510741.593
9.0	1.0018	288661852.382
10.0	1.002	320832366.287
11.0	1.0022	353022289.782
12.0	1.0024	385231600.211
13.0	1.0026	417460199.116
14.0	1.0028	449707672.817
15.0	1.003	481972463.692
16.0	1.0032	514249298.112
17.0	1.0034	546521892.51
18.0	1.0036	578745451.549
19.0	1.0038	610816175.818
20.0	1.004	642549384.351
21.0	1.0042	673719306.402
22.0	1.0044	704155981.411
23.0	1.0046	733799611.998
24.0	1.0048	762684648.955
25.0	1.005	790907494.298
26.0	1.0052	818594554.353
27.0	1.0054	845861003.789
28.0	1.0056	872783059.157
29.0	1.0058	899396790.925
30.0	1.006	925733426.153
31.0	1.0062	951816956.241
32.0	1.0064	977674437.512
33.0	1.0066	1003332075.41
34.0	1.0068	1028817356.28
35.0	1.007	1054153256.92
36.0	1.0072	1079360373.04
37.0	1.0074	1104452434.09
38.0	1.0076	1129439444.3
39.0	1.0078	1154324968.07
40.0	1.008	1179109484.06
41.0	1.0082	1203788898.54
42.0	1.0084	1228357775.75
43.0	1.0086	1252808170.01
44.0	1.0088	1277132561.78
45.0	1.009	1301322610.39
46.0	1.0092	1325371804.63
47.0	1.0094	1349274046.8
48.0	1.0096	1373025972.94
49.0	1.0098	1396625310.22
50.0	1.01	1420072799.55
51.0	1.0102	1443370325.14
52.0	1.0104	1466522463.97
53.0	1.0106	1489534520.57
54.0	1.0108	1512413796.71
55.0	1.011	1535167700.57
56.0	1.0112	1557804838.31
57.0	1.0114	1580333342.56
58.0	1.0116	1602761858.02
59.0	1.0118	1625098172.06
60.0	1.012	1647350128.92
61.0	1.0122	1669524571.07
62.0	1.0124	1691628181.03
63.0	1.0126	1713666678.83
64.0	1.0128	1735645575.28
65.0	1.013	1757569545.17
66.0	1.0132	1779443082.19
67.0	1.0134	1801269985.3
68.0	1.0136	1823053917.71
69.0	1.0138	1844797971.56
70.0	1.014	1866505143.36
71.0	1.0142	1888177957.8
72.0	1.0144	1909818873.78
73.0	1.0146	1931429957.0
74.0	1.0148	1953013228.09
75.0	1.015	1974570377.21
76.0	1.0152	1996103065.5
77.0	1.0154	2017612675.47
78.0	1.0156	2039100574.33
79.0	1.0158	2060567895.19
80.0	1.016	2082015767.75
81.0	1.0162	2103445124.91
82.0	1.0164	2124856904.88
83.0	1.0166	2146251878.82
84.0	1.0168	2167630829.42
85.0	1.017	2188994395.78
86.0	1.0172	2210343232.51
87.0	1.0174	2231677869.88
88.0	1.0176	2252998857.48
89.0	1.0178	2274306636.56
90.0	1.018	2295601671.01
91.0	1.0182	2316884329.98
92.0	1.0184	2338155006.94
93.0	1.0186	2359414012.17
94.0	1.0188	2380661680.91
95.0	1.019	2401898274.6
96.0	1.0192	2423124079.43
97.0	1.0194	2444339316.07
98.0	1.0196	2465544230.06
99.0	1.0198	2486739008.34
100.0	1.02	2507923863.38
101.0	1.0198	2470626811.8
102.0	1.0196	2435798224.19
103.0	1.0194	2402054319.1
104.0	1.0192	2368874390.85
105.0	1.019	2335980408.49
106.0	1.0188	2303254915.24
107.0	1.0186	2270630058.99
108.0	1.0184	2238073162.47
109.0	1.0182	2205563679.88
110.0	1.018	2173090421.45
111.0	1.0178	2140646317.3
112.0	1.0176	2108227381.76
113.0	1.0174	2075831120.11
114.0	1.0172	2043456113.02
115.0	1.017	2011101464.77
116.0	1.0168	1978766663.83
117.0	1.0166	1946451386.84
118.0	1.0164	1914155455.86
119.0	1.0162	1881878754.0
120.0	1.016	1849621229.19
121.0	1.0158	1817382845.05
122.0	1.0156	1785163611.23
123.0	1.0154	1752963527.04
124.0	1.0152	1720782643.93
125.0	1.015	1688621002.57
126.0	1.0148	1656478738.29
127.0	1.0146	1624356001.31
128.0	1.0144	1592253118.93
129.0	1.0142	1560170488.83
130.0	1.014	1528108778.9
131.0	1.0138	1496068710.16
132.0	1.0136	1464051302.75
133.0	1.0134	1432057632.83
134.0	1.0132	1400089379.5
135.0	1.013	1368148947.2
136.0	1.0128	1336241387.6
137.0	1.0126	1304377934.67
138.0	1.0124	1272585580.32
139.0	1.0122	1240922748.88
140.0	1.012	1209494526.24
141.0	1.0118	1178440434.23
142.0	1.0116	1147878493.63
143.0	1.0114	1117852596.39
144.0	1.0112	1088343586.48
145.0	1.011	1059312567.67
146.0	1.0108	1030731497.08
147.0	1.0106	1002578414.7
148.0	1.0104	974823480.989
149.0	1.0102	947418520.185
150.0	1.01	920304754.788
151.0	1.0098	893421590.95
152.0	1.0096	866718498.875
153.0	1.0094	840159076.043
154.0	1.0092	813722729.624
155.0	1.009	787401594.642
156.0	1.0088	761196741.838
157.0	1.0086	735112156.62
158.0	1.0084	709151734.395
159.0	1.0082	683316876.195
160.0	1.008	657606570.377
161.0	1.0078	632017013.058
162.0	1.0076	606542645.672
163.0	1.0074	581176642.164
164.0	1.0072	555911761.093
165.0	1.007	530740709.752
166.0	1.0068	505656396.529
167.0	1.0066	480652070.476
168.0	1.0064	455721336.587
169.0	1.0062	430858265.405
170.0	1.006	406057372.005
171.0	1.0058	381313702.731
172.0	1.0056	356622882.918
173.0	1.0054	331981097.346
174.0	1.0052	307385124.841
175.0	1.005	282832303.256
176.0	1.0048	258320556.616
177.0	1.0046	233848441.823
178.0	1.0044	209415107.455
179.0	1.0042	185020343.307
180.0	1.004	160664418.775
181.0	1.0038	136348098.87
182.0	1.0036	112072522.707
183.0	1.0034	87839235.5629
184.0	1.0032	63650119.697
185.0	1.003	39507331.5406
186.0	1.0028	15419398.2976
187.0	1.0026	-8620595.65004
188.0	1.0024	-32608129.3542
189.0	1.0022	-56540919.2257
190.0	1.002	-80415894.1031
191.0	1.0018	-104226347.413
192.0	1.0016	-127973927.745
193.0	1.0014	-151655397.187
194.0	1.0012	-175269410.309
195.0	1.001	-198813677.925
196.0	1.0008	-222287163.435
197.0	1.0006	-245690753.987
198.0	1.0004	-269021488.376
199.0	1.0002	-292281351.945
