51
Feature_ID,AspectRatios_0,AspectRatios_1,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumElements,NumNeighbors,Omega3s,Phases,SurfaceFeatures,Volumes
1,0.85250354,0.76193488,0.070332654,0.12159782,-0.94477957,0.29607227,1.8965311,1.0442529,0.44447616,4.8253527,4.1136303,3.6766045,17.663919,17.278694,22.282333,8.2299929,6.0300641,0.90784872,4.3324838,2335,10,0.79347897,1,0,291.875
2,0.87606478,0.79051262,0.022623092,0.034404647,0.92862642,0.36872399,0.69155329,0.2353441,4.0572486,4.7276587,4.1417356,3.7372739,20.216852,8.948246,14.608426,8.2335157,1.0663865,1.5930588,3.2095437,2338,11,0.78779387,1,0,292.25
3,0.74960482,0.56283963,0.73894525,-0.37487563,-0.45900813,0.32053038,0.19271889,0.25078732,0.29579508,7.5212579,5.6379709,4.2332621,6.6470203,4.2965384,28.864723,11.08466,3.6333177,1.9531914,4.5722775,5705,6,0.76726115,1,1,713.125
4,0.71843272,0.58566123,-0.27638853,-0.85059768,0.39250883,0.21454553,6.2742786,0.65393734,5.5946164,4.5085616,3.2390981,2.6404896,11.951908,9.0449123,10.152225,6.6967492,0.84305739,2.9000785,0.022812448,1258,8,0.8745355,1,0,157.25
5,0.97397166,0.7678805,-0.58533907,0.10631625,0.64444774,0.48037708,3.0789466,1.1752777,4.1837111,3.0789776,2.998837,2.3642869,9.1435833,30.339201,29.965179,5.3432326,5.1732721,1.2743222,5.5326185,639,2,0.50852638,1,1,79.875
6,0.94748741,0.81912619,0.022623092,0.034404647,0.92862642,0.36872399,4.2169781,0.23733148,6.2315831,4.7903152,4.5387635,3.9238727,10.220026,20.53779,22.295053,8.6584511,1.3050183,2.4799511,5.9901834,2719,11,0.77816242,1,0,339.875
7,0.87504983,0.63468862,0.082354739,-0.46791199,-0.46757871,0.74541682,2.7863858,1.6520298,5.6536527,4.4207573,3.8683829,2.8058045,29.027166,29.996561,14.697387,7.027895,2.3052478,0.9901647,5.0983996,1454,4,0.60466003,1,1,181.75
8,0.95684612,0.61031038,-0.57229817,0.14589034,0.36461157,0.71989524,0.43883452,0.30710515,3.7511611,2.651612,2.5371847,1.6183064,14.094575,13.874634,12.71041,4.3339968,1.0899029,0.56963634,5.9212222,341,7,0.71328795,1,0,42.625
9,0.7312243,0.63976085,0.37823269,0.19673294,-0.83942473,0.33704939,1.1672972,1.6684854,4.6909757,3.756022,2.7464945,2.4029558,1.6725721,20.813648,17.183071,5.6661596,4.8101969,0.88088042,3.8509421,762,3,0.64955896,1,1,95.25
10,0.82968748,0.70108062,-0.12628877,0.15382288,0.47433242,0.85755372,1.3685672,1.590978,4.1189384,8.8385096,7.3332009,6.1965075,4.6464424,13.132483,15.081361,14.560289,4.8945675,0.40072265,0.37814292,12930,16,0.81846792,1,1,1616.25
