51
Feature_ID,AspectRatios_0,AspectRatios_1,AxisEulerAngles_0,AxisEulerAngles_1,AxisEulerAngles_2,AxisLengths_0,AxisLengths_1,AxisLengths_2,Centroids_0,Centroids_1,Centroids_2,EquivalentDiameters,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumElements,NumNeighbors,Omega3s,Phases,SurfaceFeatures,Volumes
1,0.94016469,0.84068596,2.2738428,1.7361218,6.130743,4.4313068,4.1661577,3.7253373,17.781151,17.665125,22.513657,8.0865211,6.0300641,0.90784872,4.3324838,2215,10,0.81999278,1,0,276.875
2,0.78027493,0.72235918,1.18571,0.54779357,3.3472476,5.2351851,4.0848837,3.7816842,20.680935,9.2217197,14.945268,8.5291529,1.0663865,1.5930588,3.2095437,2599,10,0.81124783,1,0,324.875
3,0.80587488,0.63797277,0.48040992,0.49017552,0.51407063,7.0974841,5.7196841,4.5280018,6.7237024,4.4057093,28.579153,11.133022,3.6333177,1.9531914,4.5722775,5780,6,0.72749639,1,1,722.5
4,0.58005369,0.4799386,5.8075447,0.25509217,5.148757,4.8514047,2.8140752,2.3283765,11.882367,8.874155,10.251932,6.2750511,0.84305739,2.9000785,0.022812448,1035,7,0.8660174,1,0,129.375
5,0.94286948,0.87014431,3.2757509,1.1780062,4.130415,2.732955,2.5768199,2.3780651,9.4317293,30.297152,30.094793,4.9530921,5.1732721,1.2743222,5.5326185,509,2,0.61375433,1,1,63.625
6,0.87570447,0.73373526,4.1635532,0.55908406,0.023886343,5.0829859,4.4511933,3.7295659,10.434803,20.409904,22.447529,8.649951,1.3050183,2.4799511,5.9901834,2711,10,0.81000257,1,0,338.875
7,0.86767513,0.58374321,2.7180529,1.607446,4.5532813,4.4272685,3.8414307,2.5843878,29.370239,30.123039,15.463219,6.8375001,2.3052478,0.9901647,5.0983996,1339,4,0.62097955,1,1,167.375
8,0.88388926,0.600963,1.0665103,0.27558598,0.20535861,2.7536898,2.4339569,1.6548655,14.525862,13.997127,13.119253,4.363452,1.0899029,0.56963634,5.9212222,348,7,0.71953231,1,0,43.5
9,0.73368973,0.6995734,1.9892304,1.6097625,5.1871834,3.6702254,2.6928065,2.5675921,1.923995,20.967337,18.417086,5.7492099,4.8101969,0.88088042,3.8509421,796,4,0.71870857,1,1,99.5
10,0.90451878,0.77188492,1.7131969,2.1678362,5.8374395,7.9424267,7.1840739,6.1306396,4.8743553,13.275662,15.98897,13.896914,4.8945675,0.40072265,0.37814292,11242,16,0.81128949,1,1,1405.25
11,0.87799692,0.82437962,2.8479009,1.2347813,4.6319528,8.4257994,7.3978257,6.9460573,26.422918,17.410786,9.7075891,14.911353,5.7422209,2.0707474,5.9418516,13888,17,0.80359566,1,1,1736
12,0.93362135,0.87733483,3.3967111,1.687117,0.21093242,6.1866388,5.7759781,5.4277539,27.275007,4.2400775,27.340755,11.395175,3.4979787,0.87355852,3.8038075,6198,6,0.78861088,1,1,774.75
13,0.77727133,0.66107655,1.6126827,1.459694,5.1593914,6.4580393,5.0196486,4.2692585,3.2028368,15.41869,27.378998,10.074415,5.7018557,1.9233667,5.5865765,4283,7,0.67176151,1,1,535.375
