# All lines starting with '#' are comments and should come before the data.
# DREAM.3D StatsGenerator ODF Angles Input File
# DREAM.3D Version 6.5.141.ec284b7a5
# Angle Data is Space delimited.
# Euler angles are expressed in radians
# Euler0 Euler1 Euler2 Weight Sigma
Angle Count:73409
0.737976 0.793552 5.50919 1 1
0.737976 0.793552 5.50919 1 1
0.737976 0.793552 5.50919 1 1
0.737976 0.793552 5.50919 1 1
0.737976 0.793552 5.50919 1 1
0.737976 0.793552 5.50919 1 1
0.737976 0.793552 5.50919 1 1
0.737976 0.793552 5.50919 1 1
0.994063 0.694606 5.63721 1 1
0.994063 0.694606 5.63721 1 1
0.994063 0.694606 5.63721 1 1
0.994063 0.694606 5.63721 1 1
0.994063 0.694606 5.63721 1 1
0.994063 0.694606 5.63721 1 1
0.994063 0.694606 5.63721 1 1
0.994063 0.694606 5.63721 1 1
0.994063 0.694606 5.63721 1 1
0.994063 0.694606 5.63721 1 1
0.994063 0.694606 5.63721 1 1
0.994063 0.694606 5.63721 1 1
0.994063 0.694606 5.63721 1 1
0.994063 0.694606 5.63721 1 1
0.994063 0.694606 5.63721 1 1
0.994063 0.694606 5.63721 1 1
0.994063 0.694606 5.63721 1 1
4.34908 0.854372 2.51188 1 1
4.34908 0.854372 2.51188 1 1
4.34908 0.854372 2.51188 1 1
4.34908 0.854372 2.51188 1 1
4.34908 0.854372 2.51188 1 1
4.34908 0.854372 2.51188 1 1
4.34908 0.854372 2.51188 1 1
4.34908 0.854372 2.51188 1 1
4.34908 0.854372 2.51188 1 1
4.34908 0.854372 2.51188 1 1
4.34908 0.854372 2.51188 1 1
4.34908 0.854372 2.51188 1 1
4.84259 0.398438 1.44154 1 1
4.84259 0.398438 1.44154 1 1
4.84259 0.398438 1.44154 1 1
4.84259 0.398438 1.44154 1 1
5.693 0.304954 0.397622 1 1
5.693 0.304954 0.397622 1 1
5.693 0.304954 0.397622 1 1
5.693 0.304954 0.397622 1 1
5.693 0.304954 0.397622 1 1
5.693 0.304954 0.397622 1 1
5.693 0.304954 0.397622 1 1
5.693 0.304954 0.397622 1 1
5.693 0.304954 0.397622 1 1
5.693 0.304954 0.397622 1 1
5.693 0.304954 0.397622 1 1
5.693 0.304954 0.397622 1 1
5.693 0.304954 0.397622 1 1
5.693 0.304954 0.397622 1 1
5.693 0.304954 0.397622 1 1
5.36936 0.5557 0.621994 1 1
5.36936 0.5557 0.621994 1 1
5.36936 0.5557 0.621994 1 1
5.36936 0.5557 0.621994 1 1
5.36936 0.5557 0.621994 1 1
5.36936 0.5557 0.621994 1 1
5.36936 0.5557 0.621994 1 1
5.36936 0.5557 0.621994 1 1
5.36936 0.5557 0.621994 1 1
5.36936 0.5557 0.621994 1 1
5.36936 0.5557 0.621994 1 1
0.457464 0.643904 5.98012 1 1
0.457464 0.643904 5.98012 1 1
0.457464 0.643904 5.98012 1 1
0.457464 0.643904 5.98012 1 1
0.457464 0.643904 5.98012 1 1
0.457464 0.643904 5.98012 1 1
0.457464 0.643904 5.98012 1 1
0.457464 0.643904 5.98012 1 1
0.457464 0.643904 5.98012 1 1
0.457464 0.643904 5.98012 1 1
0.457464 0.643904 5.98012 1 1
0.260899 0.693294 6.00065 1 1
5.12548 0.408172 0.551283 1 1
5.12548 0.408172 0.551283 1 1
5.12548 0.408172 0.551283 1 1
5.12548 0.408172 0.551283 1 1
5.12548 0.408172 0.551283 1 1
5.12548 0.408172 0.551283 1 1
5.12548 0.408172 0.551283 1 1
5.12548 0.408172 0.551283 1 1
5.12548 0.408172 0.551283 1 1
5.12548 0.408172 0.551283 1 1
5.12548 0.408172 0.551283 1 1
5.12548 0.408172 0.551283 1 1
5.12548 0.408172 0.551283 1 1
5.12548 0.408172 0.551283 1 1
3.23584 0.786008 3.26158 1 1
3.23584 0.786008 3.26158 1 1
3.23584 0.786008 3.26158 1 1
3.23584 0.786008 3.26158 1 1
3.23584 0.786008 3.26158 1 1
3.23584 0.786008 3.26158 1 1
3.23584 0.786008 3.26158 1 1
3.23584 0.786008 3.26158 1 1
3.23584 0.786008 3.26158 1 1
3.23584 0.786008 3.26158 1 1
