2	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p
0	nan	nan	1	1	32.0	32.0	32.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.36765726699e-05	-6.3712145747e-08	-1.02434280683e-06	-6.3712145747e-08	1.06955634777e-05	2.19698744001e-08	-1.02434280683e-06	2.19698744001e-08	1.44314891036e-05
1	nan	nan	1	1	32.0	32.0	32.0	1.0001	-9.23388826376e-23	1.44724101584e-20	-1.27954501004e-24	1.0	-4.97779198059e-21	-2.45569244352e-25	3.28623347731e-22	1.0	16336009.0734	-59501.825358	-83332.1845423	-59495.8762707	7504810.81581	-67900.0824304	-83323.8522847	-67900.0828445	7675499.76132
2	nan	nan	1	1	32.0	32.0	32.0	1.0002	4.24193404636e-22	1.44504963345e-20	2.19332109297e-23	1.0	4.76278964481e-21	-2.78268727942e-23	-5.81869862143e-22	1.0	32677008.8472	-119037.123243	-166686.801084	-119013.320233	15010357.0943	-135814.175666	-166653.47093	-135814.175879	15351754.5232
3	nan	nan	1	1	32.0	32.0	32.0	1.0003	3.33470109133e-22	1.03632599261e-19	-5.32626766302e-23	1.0	5.98804834221e-20	-7.62427880227e-23	1.2638285784e-21	1.0	49022950.4775	-178595.760195	-250067.832332	-178542.197314	22516667.9397	-203724.538168	-249992.83438	-203724.537603	23028769.7967
4	nan	nan	1	1	32.0	32.0	32.0	1.0004	1.96791437605e-22	8.79521499788e-20	-4.56784643888e-22	1.0	2.91918242025e-20	1.04224757182e-22	-9.6394975696e-22	1.0	65373835.4716	-238171.897033	-333478.140386	-238076.666438	30023733.6602	-271641.99604	-333344.802297	-271641.996378	30706557.9498
5	nan	nan	1	1	32.0	32.0	32.0	1.0005	-6.04549474328e-22	1.80659916396e-19	-7.70066376196e-22	1.0	-3.48437942317e-20	2.92821936844e-22	1.39276535639e-22	1.0	81729673.1343	-297769.759712	-416913.206843	-297620.949392	37531552.6253	-339567.646782	-416704.854244	-339567.646794	38385113.8942
6	nan	nan	1	1	32.0	32.0	32.0	1.0006	2.33814232365e-22	-9.95588381414e-20	-3.71990876283e-21	1.0	7.25328829754e-21	-8.8663421908e-23	3.2019903018e-21	1.0	98090470.9295	-357390.216428	-500375.42445	-357175.910981	45040122.0371	-407500.130621	-500075.379191	-407500.130995	46064432.5067
7	nan	nan	1	1	32.0	32.0	32.0	1.0007	-8.2639866838e-22	3.41703141167e-20	2.42906756755e-22	1.0	6.84024082854e-20	1.99712419143e-22	4.00949952541e-22	1.0	114456228.415	-417034.250129	-583863.827683	-416742.530463	52549443.563	-475437.775223	-583455.408863	-475437.775406	53744512.6497
8	nan	nan	1	1	32.0	32.0	32.0	1.0008	-4.58025414807e-22	-2.04609793659e-19	9.91867102634e-22	1.0	-8.49400751758e-21	-9.17291600533e-22	-7.94093388051e-23	1.0	130826938.929	-476700.29855	-667378.749939	-476319.243225	60059519.2341	-543381.464103	-666845.273704	-543381.464379	61425359.7815
9	nan	nan	1	1	32.0	32.0	32.0	1.0009	-8.71628645781e-22	-1.172583836e-19	-3.24048004968e-22	1.0	8.2906658435e-20	7.35777154866e-22	2.37349137014e-22	1.0	147202604.28	-536388.652883	-750919.947782	-535906.337301	67570349.0286	-611330.919993	-750244.72747	-611330.920211	69106972.3095
