3	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
filterTable v2.0.2	--white inc,1_f,1_p
inc	1_f	1_p
0.0	1.0	4.93493445852e-06
1.0	1.0005	82558778.03
2.0	1.001	165243033.99
3.0	1.0015	248052620.758
4.0	1.002	330987917.891
5.0	1.0025	414048286.09
6.0	1.003	497216633.738
7.0	1.0035	580214677.727
8.0	1.004	661660132.343
9.0	1.0045	739901707.752
10.0	1.005	815227444.394
11.0	1.0055	888800309.147
12.0	1.006	961242918.885
13.0	1.0065	1032772090.28
14.0	1.007	1103209755.98
15.0	1.0075	1172219429.8
16.0	1.008	1239534715.21
17.0	1.0085	1305124730.64
18.0	1.009	1369137653.12
19.0	1.0095	1431771270.5
20.0	1.01	1493213831.13
21.0	1.0105	1553629653.11
22.0	1.011	1613163064.93
23.0	1.0115	1671962858.62
24.0	1.012	1730104962.61
25.0	1.0125	1787709556.96
26.0	1.013	1844834755.5
27.0	1.0135	1901577711.99
28.0	1.014	1957957067.61
29.0	1.0145	2014053993.26
30.0	1.015	2069904082.91
31.0	1.0155	2125534492.89
32.0	1.016	2180901468.59
33.0	1.0165	2236093765.4
34.0	1.017	2291124551.77
35.0	1.0175	2346003354.28
36.0	1.018	2400745850.32
37.0	1.0185	2455339774.42
38.0	1.019	2509724031.63
39.0	1.0195	2564001142.36
40.0	1.02	2618179478.01
41.0	1.0205	2672255519.26
42.0	1.021	2726238966.81
43.0	1.0215	2780118600.96
44.0	1.022	2833903386.9
45.0	1.0225	2887590465.83
46.0	1.023	2941186087.58
47.0	1.0235	2994691915.32
48.0	1.024	3048112622.64
49.0	1.0245	3101451369.92
50.0	1.025	3154711859.16
51.0	1.0255	3207823349.15
52.0	1.026	3260887185.6
53.0	1.0265	3313909593.77
54.0	1.027	3366884530.64
55.0	1.0275	3419806146.64
56.0	1.028	3472670619.8
57.0	1.0285	3525423744.12
58.0	1.029	3578132326.94
59.0	1.0295	3630798981.65
60.0	1.03	3683414747.56
61.0	1.0305	3735973821.01
62.0	1.031	3788474318.02
63.0	1.0315	3840914966.48
64.0	1.032	3893295860.14
65.0	1.0325	3945617586.72
66.0	1.033	3997881022.92
67.0	1.0335	4050086888.48
68.0	1.034	4102236427.87
69.0	1.0345	4154330491.14
70.0	1.035	4206370615.59
71.0	1.0355	4258357784.07
72.0	1.036	4310293576.85
73.0	1.0365	4362178796.78
74.0	1.037	4414014802.83
75.0	1.0375	4465802353.16
76.0	1.038	4517542870.49
77.0	1.0385	4569237469.01
78.0	1.039	4620887678.75
79.0	1.0395	4672494850.28
80.0	1.04	4724000656.31
81.0	1.0405	4775464780.36
82.0	1.041	4826911545.73
83.0	1.0415	4878336599.81
84.0	1.042	4929737062.69
85.0	1.0425	4981110112.76
86.0	1.043	5032454220.7
87.0	1.0435	5083768374.33
88.0	1.044	5135051354.13
89.0	1.0445	5186302783.52
90.0	1.045	5237521549.5
91.0	1.0455	5288688932.73
92.0	1.046	5339803793.89
93.0	1.0465	5390890727.26
94.0	1.047	5441948349.91
95.0	1.0475	5492975752.56
96.0	1.048	5543972595.2
97.0	1.0485	5594939898.2
98.0	1.049	5645877870.95
99.0	1.0495	5696786708.97
100.0	1.05	5747666193.77
101.0	1.0505	5798515969.0
102.0	1.051	5849335643.38
103.0	1.0515	5900124819.46
104.0	1.052	5950883349.67
105.0	1.0525	6001611067.59
106.0	1.053	6052308203.15
107.0	1.0535	6102974769.52
108.0	1.054	6153611206.16
109.0	1.0545	6204217675.84
110.0	1.055	6254794570.73
111.0	1.0555	6305341890.78
112.0	1.056	6355859829.86
113.0	1.0565	6406348197.26
114.0	1.057	6456806892.0
115.0	1.0575	6507235643.21
116.0	1.058	6557634310.03
117.0	1.0585	6608002744.66
118.0	1.059	6658340729.83
119.0	1.0595	6708648025.75
120.0	1.06	6758924357.52
121.0	1.0605	6809169647.77
122.0	1.061	6859383764.26
123.0	1.0615	6909566810.65
124.0	1.062	6959718902.86
125.0	1.0625	7009840444.59
126.0	1.063	7059931699.91
127.0	1.0635	7109993126.36
128.0	1.064	7160025027.61
129.0	1.0645	7210027828.14
130.0	1.065	7260001771.84
131.0	1.0655	7309947227.64
132.0	1.066	7359864395.03
133.0	1.0665	7409753607.68
134.0	1.067	7459614967.93
135.0	1.0675	7509448835.79
136.0	1.068	7559255142.47
137.0	1.0685	7609035032.39
138.0	1.069	7658788321.77
139.0	1.0695	7708516609.95
140.0	1.07	7758218537.46
141.0	1.0705	7807895380.0
142.0	1.071	7857545629.94
143.0	1.0715	7907170477.66
144.0	1.072	7956768168.02
145.0	1.0725	8006366273.7
146.0	1.073	8055896411.7
147.0	1.0735	8105385305.18
148.0	1.074	8154841359.33
149.0	1.0745	8204268798.29
150.0	1.075	8253668767.05
151.0	1.0755	8303044325.6
152.0	1.076	8352396576.91
153.0	1.0765	8401727410.94
154.0	1.077	8451087080.15
155.0	1.0775	8500386890.33
156.0	1.078	8549643807.72
157.0	1.0785	8598865014.89
158.0	1.079	8648056849.42
159.0	1.0795	8697221148.13
160.0	1.08	8746360895.78
161.0	1.0805	8795476786.49
162.0	1.081	8844608358.31
163.0	1.0815	8893671667.26
164.0	1.082	8942691859.6
165.0	1.0825	8991676882.7
166.0	1.083	9040634585.54
167.0	1.0835	9089566334.2
168.0	1.084	9138476661.71
169.0	1.0845	9187365669.46
170.0	1.085	9236293066.78
171.0	1.0855	9285153301.68
172.0	1.086	9333969764.89
173.0	1.0865	9382750413.8
174.0	1.087	9431504880.66
175.0	1.0875	9480234084.56
176.0	1.088	9528944540.79
177.0	1.0885	9577635731.02
178.0	1.089	9626389520.26
179.0	1.0895	9675077453.09
180.0	1.09	9723719059.14
181.0	1.0905	9772321701.63
182.0	1.091	9820895351.81
183.0	1.0915	9869442107.24
184.0	1.092	9917969085.81
185.0	1.0925	9966550534.12
186.0	1.093	10015071955.8
187.0	1.0935	10063542957.3
188.0	1.094	10111972179.9
189.0	1.0945	10160369438.2
190.0	1.095	10208742099.7
191.0	1.0955	10257156744.1
192.0	1.096	10305516041.7
193.0	1.0965	10353825362.5
194.0	1.097	10402092835.9
195.0	1.0975	10450330577.9
196.0	1.098	10498589370.2
197.0	1.0985	10546799701.4
198.0	1.099	10594964866.5
199.0	1.0995	10643092495.6
200.0	1.1	10691192073.1
201.0	1.0995	10599655427.9
202.0	1.099	10513959477.9
203.0	1.0985	10429817718.7
204.0	1.098	10346391745.1
205.0	1.0975	10263254683.1
206.0	1.097	10180383929.9
207.0	1.0965	10097686439.4
208.0	1.096	10015161618.5
209.0	1.0955	9932903398.78
210.0	1.095	9850893709.15
211.0	1.0945	9769180909.43
212.0	1.094	9687989534.26
213.0	1.0935	9607233543.39
214.0	1.093	9527092578.4
215.0	1.0925	9447621537.08
216.0	1.092	9369013872.97
217.0	1.0915	9291651476.01
218.0	1.091	9216312242.6
219.0	1.0905	9142665362.24
220.0	1.09	9071128482.37
221.0	1.0895	9000589351.5
222.0	1.089	8931446059.18
223.0	1.0885	8862929567.86
224.0	1.088	8795057751.25
225.0	1.0875	8727807097.61
226.0	1.087	8661166226.0
227.0	1.0865	8595280744.62
228.0	1.086	8529942395.63
229.0	1.0855	8465240254.51
230.0	1.085	8401138440.25
231.0	1.0845	8337764499.08
232.0	1.084	8275053775.24
233.0	1.0835	8213074569.42
234.0	1.083	8151817936.23
235.0	1.0825	8091501864.0
236.0	1.082	8031755922.25
237.0	1.0815	7972584917.5
238.0	1.081	7913879793.94
239.0	1.0805	7855801007.69
240.0	1.08	7798150636.35
241.0	1.0795	7740948639.48
242.0	1.079	7684084600.08
243.0	1.0785	7627622441.2
244.0	1.078	7571473433.76
