5	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(ln(V))	Mises(Cauchy)
0	nan	nan	1	1	16.0	16.0	16.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.24523773982e-06	4.77280706211e-07	1.46556326237e-08	4.77280706211e-07	3.53375053851e-06	-4.95910227964e-07	1.46556326237e-08	-4.95910227964e-07	3.31189006807e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.24523773982e-06	4.77280706211e-07	1.46556326237e-08	4.77280706211e-07	3.53375053851e-06	-4.95910227964e-07	1.46556326237e-08	-4.95910227964e-07	3.31189006807e-06	0.0	2.49010004113e-06
1	nan	nan	1	1	16.0	16.0	16.0	1.0002	-6.47785817206e-23	4.74762897514e-21	2.04468707665e-23	1.0	-2.59370235884e-21	-7.28952914812e-24	-6.45895580259e-22	1.0	22169498.3958	49958.5979306	-33750.1219782	49948.6089671	11715473.142	3726.29236897	-33743.3747938	3726.29294714	11638037.5297	0.0001999800026662447	0.0	0.0	0.0	4.440892098500625e-16	0.0	0.0	0.0	4.440892098500625e-16	22169498.3958	49948.60820895821	-33743.37330353929	49948.6089671	11713130.515896821	3725.547259518097	-33743.3747938	3725.5478375724856	11635710.387622476	0.000133320001777	10495813.3813
2	nan	nan	1	1	16.0	16.0	16.0	1.0004	8.35452418679e-23	-3.10477073043e-21	-1.51477449674e-23	1.0	1.13899668421e-20	-6.87593884185e-23	6.30492572524e-22	1.0	44352377.7428	99949.2768747	-67525.6083359	99909.3135842	23433266.0774	7457.22951928	-67498.608848	7457.22927503	23278394.1268	0.0003999200213268913	0.0	0.0	0.0	4.440892098500625e-16	0.0	0.0	0.0	2.2204460492503128e-16	44352377.74279999	99909.31314944022	-67498.60889234307	99909.31358419999	23423896.51879248	7454.24782015194	-67498.608848	7454.2475759996005	23269086.49220312	0.000266613347551	21007356.1335
3	nan	nan	1	1	16.0	16.0	16.0	1.0006	-7.13443278327e-22	-4.02851950962e-20	3.07297597563e-22	1.0	-9.7118500238e-21	-1.50133281178e-22	6.82682499298e-22	1.0	66548594.6112	149969.765113	-101316.802987	149879.836832	35153412.6341	11182.3499273	-101256.049224	11182.3499799	34921081.9116	0.0005998200719675495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66548594.61119999	149879.8372106736	-101256.04935738558	149879.836832	35132333.2341595	11175.644540575655	-101256.04922399999	11175.644593144114	34900141.8265041	0.000399880047978	31534560.4481
4	nan	nan	1	1	16.0	16.0	16.0	1.0008	2.37400835803e-22	-3.7521015983e-20	3.73472046568e-22	1.0	-1.72702904192e-20	-5.54417805564e-22	-1.87265935864e-21	1.0	88751644.7431	200162.542444	-135207.068448	200002.542727	46879316.391	15408.857122	-135098.988064	15408.8560766	46569142.4601	0.0007996801705642441	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	88751644.74309999	200002.54041167066	-135098.98925659474	200002.542727	46841842.91666667	15396.53989008793	-135098.988064	15396.53884552358	46531916.926558755	0.000533120113709	42067706.7297
5	nan	nan	1	1	16.0	16.0	16.0	1.001	-1.51766962888e-21	-5.89055993714e-22	-3.45658098471e-22	1.0	-1.64768691154e-20	-4.08213632295e-22	9.22771672091e-22	1.0	110580319.212	258418.760336	-175244.60743	258160.820212	58811273.2381	45963.2642171	-175069.529873	45963.1956486	58398993.381	0.0009995003330834232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110580319.212	258160.59973626377	-175069.5378921079	258160.82021200002	58752520.717382625	45917.346870229776	-175069.529873	45917.278370229775	58340652.72827174	0.000666333555389	52037820.4508
6	nan	nan	1	1	16.0	16.0	16.0	1.0012	1.49802408933e-21	-2.89672446661e-20	-9.95305072054e-22	1.0	3.35527203918e-20	-2.81241408268e-22	-2.86664611159e-21	1.0	130156249.395	350772.722845	-268918.388748	350352.484347	71953936.318	172873.258168	-268596.169841	172873.214588	71256900.5631	0.001199280575482187	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	130156249.395	350352.3000848981	-268596.0734598482	350352.484347	71867695.08389932	172666.05889732318	-268596.169841	172666.01536955652	71171494.76937674	0.000799520383655	58645501.7977
7	nan	nan	1	1	16.0	16.0	16.0	1.0014	-1.52614823016e-22	7.05130113171e-20	1.61300219448e-21	1.0	-4.60966041885e-20	2.02659250075e-23	-1.45893980539e-21	1.0	147485304.46	436298.376281	-449482.437143	435688.800235	86327001.3674	329003.322951	-448854.503929	329003.386483	85108823.3493	0.0013990209137074087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	147485304.46	435688.41250349506	-448854.04148492106	435688.800235	86206312.5298582	328543.3622438586	-448854.503929	328543.4256870381	84989837.57669263	0.000932680609138	61908292.8901
8	nan	nan	1	1	16.0	16.0	16.0	1.0016	1.68744844961e-22	7.44909228829e-20	2.16390448244e-21	1.0	1.46065827311e-19	-6.16249556352e-23	3.31058360659e-21	1.0	163823561.89	493823.183432	-687470.526689	493034.692071	101231372.249	468496.080163	-686372.80133	468496.158729	99411736.2871	0.0015987213636970735	0.0	0.0	0.0	2.2204460492503128e-16	0.0	0.0	0.0	2.2204460492503128e-16	163823561.89	493034.32850638975	-686372.3309594648	493034.692071	101069660.79173322	467747.68386880984	-686372.80133	467747.7623093051	99252931.59654552	0.00106581424246	63703676.4013
9	nan	nan	1	1	16.0	16.0	16.0	1.0018	-2.5369629387e-21	1.6146565557e-21	4.22689293015e-21	1.0	1.47989642621e-19	6.27085622376e-21	-7.01242364292e-22	1.0	179782442.928	533825.372751	-942273.218041	532865.987087	116306337.134	580893.516157	-940579.743894	580894.179083	113922453.322	0.0017983819413793973	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	179782442.928	532866.2135665801	-940580.173728289	532865.987087	116097361.88261129	579849.7865412257	-940579.7438939998	579850.448276103	113717761.35156716	0.00119892129425	64942372.0572
