2	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p
0	nan	nan	1	1	16.0	16.0	16.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.24523773982e-06	4.77280706211e-07	1.46556326237e-08	4.77280706211e-07	3.53375053851e-06	-4.95910227964e-07	1.46556326237e-08	-4.95910227964e-07	3.31189006807e-06
1	nan	nan	1	1	16.0	16.0	16.0	1.001	5.37460603006e-22	-1.65498161057e-21	-4.18760185105e-23	1.0	-6.58901056687e-22	9.24374334528e-23	2.05719818342e-21	1.0	110585188.821	258405.906324	-175038.21526	258147.768225	58808724.0305	45435.1251871	-174863.424921	45435.1917864	58396731.9433
2	nan	nan	1	1	16.0	16.0	16.0	1.002	9.10725854421e-22	3.09733644467e-19	-3.96881257903e-21	1.0	6.06468145609e-20	-8.28834973778e-22	3.06780609681e-21	1.0	198009547.317	562539.035076	-1078417.88832	561416.171495	130065658.884	599219.575277	-1076265.68934	599219.563158	127489143.529
3	nan	nan	1	1	16.0	16.0	16.0	1.003	2.3326493274e-21	-2.732359543e-19	-5.62979124904e-21	1.0	-8.61183525993e-19	6.30311626765e-22	-8.63808170077e-20	1.0	276391832.833	712319.95432	-1922407.86856	710189.530085	205413757.972	866134.734211	-1916658.56736	866134.383152	201501521.855
4	nan	nan	1	1	16.0	16.0	16.0	1.004	5.83327767972e-21	-8.45110579511e-19	-5.19138552438e-21	1.0	-3.14586713121e-19	-1.02901268202e-21	1.36931478602e-20	1.0	353078672.654	844217.210687	-2352139.50244	840854.703098	281189084.736	979465.737109	-2342767.05981	979468.201207	276850853.926
5	nan	nan	1	1	16.0	16.0	16.0	1.005	7.08066604345e-21	-9.68621879855e-19	-1.50546871485e-21	1.0	9.16387078533e-19	1.40951576379e-21	1.01591014111e-19	1.0	429185996.904	947689.774274	-2543574.27414	942971.099298	357110642.366	1051429.4861	-2530921.52731	1051434.31705	352699766.532
6	nan	nan	1	1	16.0	16.0	16.0	1.006	-3.20085809834e-20	-7.91982423128e-19	1.38304598419e-21	1.0	-2.46814151174e-19	2.88520597658e-21	-1.47949524361e-19	1.0	505024479.336	1020465.41617	-2631951.84546	1014373.80279	433147658.76	1110960.63434	-2616255.73948	1110942.71802	428772191.941
7	nan	nan	1	1	16.0	16.0	16.0	1.007	-3.44636530414e-20	4.02956072322e-19	2.60065584587e-21	1.0	-2.57339197288e-19	3.56018535643e-21	1.74435847575e-20	1.0	580701566.295	1071160.12018	-2673570.04248	1063716.04592	509287770.485	1161149.59666	-2654988.11067	1161135.14449	504975298.698
8	nan	nan	1	1	16.0	16.0	16.0	1.008	-4.24707613709e-20	-1.29839562902e-18	1.35392922663e-20	1.0	1.01447084685e-18	3.95061460555e-21	1.15964104435e-19	1.0	656259219.966	1108277.59009	-2695312.71757	1099476.38574	585526770.795	1205699.08269	-2673925.87684	1205710.6058	581272592.558
9	nan	nan	1	1	16.0	16.0	16.0	1.009	-4.13855004073e-20	9.35422158789e-19	-1.28113733272e-20	1.0	4.19179400239e-18	-2.58212700015e-20	-1.93844813468e-19	1.0	731719505.825	1136529.50035	-2707166.68515	1126391.5607	661858317.537	1241193.36165	-2683022.16909	1241197.03781	657649059.891
10	nan	nan	1	1	16.0	16.0	16.0	1.01	-2.27640104575e-20	2.60948351736e-18	-2.87130934229e-20	1.0	1.39702202782e-18	-4.96109844185e-20	-1.38344303088e-19	1.0	807083896.786	1158738.87301	-2716118.8067	1147265.97608	738278450.23	1273055.46633	-2689228.94066	1273071.51895	734107501.493
11	nan	nan	1	1	16.0	16.0	16.0	1.011	1.78273965617e-20	3.94697501086e-19	-4.6719160997e-20	1.0	-9.04763536566e-19	3.22269566651e-21	-9.10196458829e-20	1.0	882369295.282	1178422.14432	-2724200.58016	1165608.39886	814781682.7	1300540.96177	-2694559.76543	1300553.96419	810637013.397
12	nan	nan	1	1	16.0	16.0	16.0	1.012	5.64732747802e-20	1.40262700365e-18	-3.32791304042e-20	1.0	1.69022777647e-18	4.88764480345e-20	1.7679165796e-19	1.0	957569580.885	1194390.03248	-2732114.42667	1180230.62799	891367836.344	1324128.12261	-2699730.90713	1324126.76727	887243854.056
13	nan	nan	1	1	16.0	16.0	16.0	1.013	-2.40345598783e-20	-5.35764221006e-18	9.72764400362e-21	1.0	3.88192552749e-19	4.98161252104e-20	3.04263499077e-19	1.0	1032696381.32	1209445.69023	-2740114.12045	1193939.41196	968033623.666	1344545.99697	-2704956.67866	1344557.85356	963920001.226
14	nan	nan	1	1	16.0	16.0	16.0	1.014	2.01964418361e-20	-8.74283585354e-19	4.46148135187e-20	1.0	-2.70743493678e-18	-3.21343124365e-20	7.87343594252e-20	1.0	1107744120.94	1222406.11633	-2748353.73059	1205536.12076	1044779712.81	1361162.37901	-2710431.12903	1361157.18265	1040670267.77
15	nan	nan	1	1	16.0	16.0	16.0	1.015	2.26184266696e-20	2.49277164166e-18	1.61995051162e-20	1.0	2.48851662458e-18	-9.50000389905e-20	1.362531905e-19	1.0	1182718417.86	1234850.17898	-2757266.73893	1216619.37987	1121604140.5	1375073.38236	-2716539.55956	1375073.84272	1117491212.69
16	nan	nan	1	1	16.0	16.0	16.0	1.016	-5.99805205774e-20	-4.58911862911e-18	8.02034321931e-21	1.0	1.13396535814e-19	-9.02619484418e-20	-1.03867415157e-19	1.0	1257616388.48	1245976.50394	-2766605.6018	1226368.50796	1198507056.55	1386079.30944	-2723069.61618	1386068.5976	1194385541.07
17	nan	nan	1	1	16.0	16.0	16.0	1.017	-8.03887206504e-20	-7.65191035704e-18	9.82028823223e-21	1.0	-2.69360447694e-18	-4.42707063838e-20	9.37923552962e-19	1.0	1332440945.17	1256669.39616	-2776743.18946	1235685.30716	1275487168.39	1394933.41445	-2730357.97239	1394924.80899	1271351771.26
18	nan	nan	1	1	16.0	16.0	16.0	1.018	-7.77417426902e-20	6.12149387492e-18	1.06408513999e-20	1.0	-2.13405980594e-18	1.7741369778e-19	5.35589520461e-19	1.0	1407190387.7	1266435.89967	-2787488.78676	1244062.83778	1352544443.59	1401733.63649	-2738241.927	1401716.68522	1348391631.91
19	nan	nan	1	1	16.0	16.0	16.0	1.019	-1.63847935735e-20	4.58933038734e-18	-4.10281583826e-21	1.0	2.87435336695e-18	2.18058044359e-19	2.90744059145e-19	1.0	1481866649.75	1275794.70054	-2799002.37627	1252032.2547	1429677921.93	1406985.89016	-2746851.72837	1406969.13984	1425504249.95
20	nan	nan	1	1	16.0	16.0	16.0	1.02	-7.7953500927e-20	-3.57675543846e-18	2.03552605137e-20	1.0	2.70502618684e-18	1.71709460276e-19	1.32494481796e-19	1.0	1556468685.79	1284483.58542	-2811132.22218	1259322.42809	1506887560.58	1410833.73844	-2756059.35108	1410811.28527	1502690716.45
21	nan	nan	1	1	16.0	16.0	16.0	1.021	1.82376781456e-20	-6.54036490222e-18	-8.86737616657e-22	1.0	1.00747951631e-18	-2.67874169569e-20	7.22261023657e-19	1.0	1630997746.35	1292799.25159	-2823952.43342	1266237.12611	1584172674.21	1413592.04684	-2765915.9113	1413568.35665	1579950538.37
22	nan	nan	1	1	16.0	16.0	16.0	1.022	8.45709458274e-20	9.15536736863e-19	-5.58512349596e-21	1.0	-2.45474118581e-18	-1.48019007533e-19	-2.87991202066e-20	1.0	1705453261.18	1300627.82556	-2837319.16854	1272658.59504	1661533220.09	1415386.9242	-2776295.15638	1415359.88152	1657284337.8
23	nan	nan	1	1	16.0	16.0	16.0	1.023	2.06278992436e-19	2.48515496257e-18	-4.44692297309e-21	1.0	2.30599425934e-18	-1.43863252135e-19	8.29496718268e-20	1.0	1779836041.17	1308140.61854	-2851284.36909	1278760.01512	1738968726.0	1416394.5829	-2787233.04117	1416365.37459	1734691828.6
24	nan	nan	1	1	16.0	16.0	16.0	1.024	1.5881867761e-21	5.4707475783e-18	-5.6155637425e-20	1.0	-7.20826361602e-18	-9.88646268123e-20	-7.71560988165e-19	1.0	1854145804.41	1315304.3583	-2865724.3075	1284508.26267	1816479150.17	1416718.83234	-2798617.69289	1416687.83916	1812173347.61
