3	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
filterTable v2.0.2	--white inc,1_f,1_p
inc	1_f	1_p
0.0	1.0	1.36765726699e-05
1.0	1.0001	16336009.0734
2.0	1.0002	32677008.8472
3.0	1.0003	49022950.4775
4.0	1.0004	65373835.4716
5.0	1.0005	81729673.1343
6.0	1.0006	98090470.9295
7.0	1.0007	114456228.415
8.0	1.0008	130826938.929
9.0	1.0009	147202604.28
10.0	1.001	163583225.671
11.0	1.0011	179968804.287
12.0	1.0012	196359339.603
13.0	1.0013	212754833.26
14.0	1.0014	229155284.729
15.0	1.0015	245560695.296
16.0	1.0016	261971064.674
17.0	1.0017	278386394.048
18.0	1.0018	294806683.189
19.0	1.0019	311231933.225
20.0	1.002	327662143.973
21.0	1.0021	344097316.471
22.0	1.0022	360537450.13
23.0	1.0023	376982544.301
24.0	1.0024	393432594.147
25.0	1.0025	409887592.732
26.0	1.0026	426347523.128
27.0	1.0027	442812351.856
28.0	1.0028	459282010.862
29.0	1.0029	475756368.828
30.0	1.003	492235183.009
31.0	1.0031	508718007.027
32.0	1.0032	525204046.712
33.0	1.0033	541691919.391
34.0	1.0034	558179305.784
35.0	1.0035	574662435.492
36.0	1.0036	591135474.354
37.0	1.0037	607589832.047
38.0	1.0038	624013739.61
39.0	1.0039	640392214.866
40.0	1.004	656708007.436
41.0	1.0041	672943045.314
42.0	1.0042	689080988.085
43.0	1.0043	705108618.874
44.0	1.0044	721017353.975
45.0	1.0045	736801843.86
46.0	1.0046	752461690.765
47.0	1.0047	767999009.68
48.0	1.0048	783419624.58
49.0	1.0049	798730168.877
50.0	1.005	813939109.612
51.0	1.0051	829054072.068
52.0	1.0052	844083056.254
53.0	1.0053	859032492.645
54.0	1.0054	873908682.09
55.0	1.0055	888716429.248
56.0	1.0056	903460364.354
57.0	1.0057	918143878.498
58.0	1.0058	932770185.449
59.0	1.0059	947341436.802
60.0	1.006	961859593.314
61.0	1.0061	976325698.208
62.0	1.0062	990740665.166
63.0	1.0063	1005104667.8
64.0	1.0064	1019417864.24
65.0	1.0065	1033679821.15
66.0	1.0066	1047890136.63
67.0	1.0067	1062047856.52
68.0	1.0068	1076151999.71
69.0	1.0069	1090200984.12
70.0	1.007	1104193097.37
71.0	1.0071	1118125958.72
72.0	1.0072	1131996987.67
73.0	1.0073	1145802927.2
74.0	1.0074	1159540366.41
75.0	1.0075	1173205347.29
76.0	1.0076	1186793973.18
77.0	1.0077	1200302087.76
78.0	1.0078	1213725948.45
79.0	1.0079	1227061918.05
80.0	1.008	1240307137.78
81.0	1.0081	1253459155.73
82.0	1.0082	1266516536.75
83.0	1.0083	1279478387.79
84.0	1.0084	1292344879.23
85.0	1.0085	1305116681.28
86.0	1.0086	1317795407.73
87.0	1.0087	1330383013.35
88.0	1.0088	1342882187.25
89.0	1.0089	1355295765.59
90.0	1.009	1367627096.68
91.0	1.0091	1379879503.37
92.0	1.0092	1392056630.67
93.0	1.0093	1404161970.9
94.0	1.0094	1416199197.03
95.0	1.0095	1428171748.86
96.0	1.0096	1440083151.21
97.0	1.0097	1451936652.65
98.0	1.0098	1463735526.69
99.0	1.0099	1475482754.64
100.0	1.01	1487181308.22
101.0	1.0099	1467493891.73
102.0	1.0098	1448869609.37
103.0	1.0097	1430890406.61
104.0	1.0096	1413328665.17
105.0	1.0095	1396042647.99
106.0	1.0094	1378947587.89
107.0	1.0093	1361983104.3
108.0	1.0092	1345113743.35
109.0	1.0091	1328312212.45
110.0	1.009	1311561500.4
111.0	1.0089	1294848464.52
112.0	1.0088	1278164416.6
113.0	1.0087	1261502671.13
114.0	1.0086	1244858674.95
115.0	1.0085	1228228934.55
116.0	1.0084	1211611019.1
117.0	1.0083	1195003070.77
118.0	1.0082	1178403774.59
119.0	1.0081	1161812131.3
120.0	1.008	1145227426.81
121.0	1.0079	1128649122.48
122.0	1.0078	1112076830.7
123.0	1.0077	1095510261.42
124.0	1.0076	1078949204.9
125.0	1.0075	1062393505.5
126.0	1.0074	1045843050.51
127.0	1.0073	1029297757.09
128.0	1.0072	1012757565.0
129.0	1.0071	996222430.307
130.0	1.007	979692320.798
131.0	1.0069	963167213.522
132.0	1.0068	946647091.172
133.0	1.0067	930131941.504
134.0	1.0066	913621755.592
135.0	1.0065	897116527.276
136.0	1.0064	880616251.894
137.0	1.0063	864120926.058
138.0	1.0062	847630547.572
139.0	1.0061	831145115.114
140.0	1.006	814664627.19
141.0	1.0059	798189082.558
142.0	1.0058	781718479.869
143.0	1.0057	765252818.154
144.0	1.0056	748792096.43
145.0	1.0055	732336313.995
146.0	1.0054	715885470.18
147.0	1.0053	699439564.463
148.0	1.0052	682998596.347
149.0	1.0051	666562565.514
150.0	1.005	650131471.697
151.0	1.0049	633705314.814
152.0	1.0048	617284094.87
153.0	1.0047	600867812.02
154.0	1.0046	584456466.601
155.0	1.0045	568050059.34
156.0	1.0044	551648591.444
157.0	1.0043	535252064.646
158.0	1.0042	518860481.29
159.0	1.0041	502473844.452
160.0	1.004	486092158.079
161.0	1.0039	469715427.326
162.0	1.0038	453343659.158
163.0	1.0037	436976863.517
164.0	1.0036	420615055.307
165.0	1.0035	404258258.931
166.0	1.0034	387906514.501
167.0	1.0033	371559890.341
168.0	1.0032	355218502.164
169.0	1.0031	338882544.115
170.0	1.003	322552335.321
171.0	1.0029	306228394.328
172.0	1.0028	289911547.039
173.0	1.0027	273603087.191
174.0	1.0026	257304986.404
175.0	1.0025	241020158.752
176.0	1.0024	224752726.642
177.0	1.0023	208508240.877
178.0	1.0022	192293712.192
179.0	1.0021	176117418.35
180.0	1.002	159988397.907
181.0	1.0019	143915791.779
182.0	1.0018	127907998.075
183.0	1.0017	111975934.473
184.0	1.0016	96117325.0327
185.0	1.0015	80338997.9463
186.0	1.0014	64637237.3049
187.0	1.0013	49016963.7799
188.0	1.0012	33469029.5743
189.0	1.0011	17994869.7568
190.0	1.001	2588139.33978
191.0	1.0009	-12747657.2256
192.0	1.0008	-28020681.2001
193.0	1.0007	-43229268.8407
194.0	1.0006	-58377937.9093
