5	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
filterTable v2.0.2	v2.0.2 --white inc,1_f,1_p single_phase_equiaxed_tension.txt
filterTable v2.0.2	--white inc,1_f,1_p single_phase_equiaxed_tension.txt
filterTable v2.0.2	--white inc,1_f,1_p single_phase_equiaxed_tension.txt
inc	1_f	1_p
0.0	1.0	1.42057748434e-05
1.0	1.0002	45639360.0307
2.0	1.0004	91309609.2882
3.0	1.0006	137011273.062
4.0	1.0008	182745657.046
5.0	1.001	228512822.832
6.0	1.0012	274312913.126
7.0	1.0014	320145884.77
8.0	1.0016	366013220.649
9.0	1.0018	411852649.876
10.0	1.002	457419860.521
11.0	1.0022	502022694.876
12.0	1.0024	544781406.908
13.0	1.0026	585208458.241
14.0	1.0028	623318740.051
15.0	1.003	659322093.396
16.0	1.0032	693600701.617
17.0	1.0034	726572127.251
18.0	1.0036	758550475.442
19.0	1.0038	789785732.672
20.0	1.004	820458409.822
21.0	1.0042	850688826.611
22.0	1.0044	880559219.765
23.0	1.0046	910113862.62
24.0	1.0048	939395993.174
25.0	1.005	968449697.044
26.0	1.0052	997313965.34
27.0	1.0054	1026017110.33
28.0	1.0056	1054581620.38
29.0	1.0058	1083031007.14
30.0	1.006	1111383478.79
31.0	1.0062	1139655171.36
32.0	1.0064	1167854397.77
33.0	1.0066	1195987644.65
34.0	1.0068	1224071941.98
35.0	1.007	1252098992.33
36.0	1.0072	1280091993.77
37.0	1.0074	1308036018.91
38.0	1.0076	1335955390.87
39.0	1.0078	1363830577.87
40.0	1.008	1391683976.29
41.0	1.0082	1419511381.75
42.0	1.0084	1447305030.98
43.0	1.0086	1475080877.47
44.0	1.0088	1502829377.76
45.0	1.009	1530567688.15
46.0	1.0092	1558276587.74
47.0	1.0094	1585973113.47
48.0	1.0096	1613646422.84
49.0	1.0098	1641303324.87
50.0	1.01	1668955997.69
51.0	1.0102	1696581864.31
52.0	1.0104	1724192939.04
53.0	1.0106	1751802139.43
54.0	1.0108	1779387518.17
55.0	1.011	1806959056.78
56.0	1.0112	1834519866.71
57.0	1.0114	1862081166.66
58.0	1.0116	1889618486.76
59.0	1.0118	1917142611.01
60.0	1.012	1944657539.81
61.0	1.0122	1972162716.73
62.0	1.0124	1999658756.99
63.0	1.0126	2027161333.73
64.0	1.0128	2054637706.82
65.0	1.013	2082101875.97
66.0	1.0132	2109557270.02
67.0	1.0134	2137004769.66
68.0	1.0136	2164443905.71
69.0	1.0138	2191875168.99
70.0	1.014	2219298398.02
71.0	1.0142	2246713721.73
72.0	1.0144	2274121178.37
73.0	1.0146	2301520904.14
74.0	1.0148	2328912851.32
75.0	1.015	2356297180.35
76.0	1.0152	2383673812.44
77.0	1.0154	2411042903.96
78.0	1.0156	2438404411.14
79.0	1.0158	2465758503.39
80.0	1.016	2493105188.26
81.0	1.0162	2520444641.91
82.0	1.0164	2547776895.33
83.0	1.0166	2575102098.71
84.0	1.0168	2602420282.91
85.0	1.017	2629731555.48
86.0	1.0172	2657035957.87
87.0	1.0174	2684333570.32
88.0	1.0176	2711624449.71
89.0	1.0178	2738908647.99
90.0	1.018	2766186223.13
91.0	1.0182	2793457204.99
92.0	1.0184	2820721658.12
93.0	1.0186	2847979598.25
94.0	1.0188	2875231092.72
95.0	1.019	2902476152.45
96.0	1.0192	2929714848.47
97.0	1.0194	2956947189.37
98.0	1.0196	2984173243.44
99.0	1.0198	3011393011.98
100.0	1.02	3038606559.47
101.0	1.0202	3065813880.07
102.0	1.0204	3093015031.66
103.0	1.0206	3120210004.54
104.0	1.0208	3147398848.96
105.0	1.021	3174581558.13
106.0	1.0212	3201758176.47
