6	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
filterTable v2.0.2	--white inc,Mises(ln(V)),Mises(Cauchy)
inc	Mises(ln(V))	Mises(Cauchy)
0.0	0.0	2.02269759912e-06
1.0	0.00133200177512	307683645.32
2.0	0.00266134751303	437293055.839
3.0	0.00398804778503	466108696.308
4.0	0.00531211309945	484346064.552
5.0	0.00663355390211	499644004.2
6.0	0.00795238057685	513620234.986
7.0	0.00926860344599	526848671.937
8.0	0.0105822327709	539595370.7
9.0	0.0118932787522	551999337.172
10.0	0.0132017515308	564146116.678
