5	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
addStrainTensors v2.0.2	single_phase_equiaxed_tension.txt --left --logarithmic
addCauchy v2.0.2	single_phase_equiaxed_tension.txt
addMises v2.0.2	single_phase_equiaxed_tension.txt --strain ln(V) --stress Cauchy
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	Mises(ln(V))	Mises(Cauchy)
0	nan	nan	1	1	32.0	32.0	32.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	-6.7354794064e-06	-7.53513237822e-07	-9.02748006541e-07	-7.53513237822e-07	-3.29450522207e-06	2.79736586098e-07	-9.02748006541e-07	2.79736586098e-07	-2.95799718583e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.7354794064e-06	-7.53513237822e-07	-9.02748006541e-07	-7.53513237822e-07	-3.29450522207e-06	2.79736586098e-07	-9.02748006541e-07	2.79736586098e-07	-2.95799718583e-06	0.0	4.18263345545e-06
1	nan	nan	1	1	32.0	32.0	32.0	1.002	-1.23857889021e-20	2.31826879245e-18	3.35008148084e-22	1.0	1.02111548531e-18	-6.60865610642e-22	-4.83931677616e-21	1.0	474287338.803	-5251120.04085	4018041.7083	-5240637.7642	167991591.628	9205198.95461	4010022.66961	9205198.51405	169702913.688	0.001998002662673058	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	474287338.8029999	-5240638.763323354	4010021.66497006	-5240637.7642	167656279.06986025	9186825.304001994	4010022.6696100007	9186824.864321357	169364185.31736526	0.00133200177512	306407659.175
2	nan	nan	1	1	32.0	32.0	32.0	1.004	1.33200894039e-20	1.27021606709e-18	1.9413101796e-20	1.0	-1.54859232852e-18	2.15863120603e-20	6.200959462e-21	1.0	831840387.873	-3927037.79568	4453957.9943	-3911392.44117	396052669.623	15237623.0338	4436214.05138	15237623.6132	396764480.404	0.003992021269537457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	831840387.873	-3911392.2267729086	4436213.141733068	-3911392.4411700005	394474770.5408367	15176915.372310758	4436214.051380001	15176915.94940239	395183745.42231077	0.00266134751302	437921291.881
3	nan	nan	1	1	32.0	32.0	32.0	1.006	5.00150621477e-20	2.43282089958e-18	4.98053718624e-20	1.0	-3.25114488931e-18	2.9043707174e-20	1.05612973045e-19	1.0	1121395893.12	1592600.20128	5928893.79463	1583101.51512	657211963.907	17329313.6636	5893531.46859	17329313.2403	657632662.098	0.005982071677547469	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	0.0	1121395893.12	1583101.5917296223	5893532.5990357855	1583101.5151200003	653292210.6431412	17225957.91610338	5893531.468590002	17225957.495328028	653710399.6998012	0.00398804778503	468964174.795
4	nan	nan	1	1	32.0	32.0	32.0	1.008	-3.06751658359e-20	-1.17035634201e-18	5.41315264661e-20	1.0	8.32143448074e-18	4.04427471535e-20	-4.88611451932e-20	1.0	1401713990.16	4824483.86476	7387493.91648	4786196.20924	922613240.464	18555265.3524	7328863.82457	18555266.8415	923583974.705	0.007968169649176881	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	1401713990.16	4786194.310277778	7328863.012380953	4786196.20924	915290913.1587301	18408001.34166667	7328863.824569999	18408002.81894842	916253943.1597223	0.00531211309945	487223070.66
5	nan	nan	1	1	32.0	32.0	32.0	1.01	-2.13611121386e-20	3.98201107288e-18	1.67470986817e-20	1.0	-1.04131608373e-17	2.91592539658e-20	-2.0310448004e-19	1.0	1679198580.64	6684830.37359	8417650.05823	6618643.81547	1189635133.98	19436109.0382	8334305.50883	19436121.3213	1191169670.63	0.009950330853168092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2204460492503128e-16	1679198580.64	6618643.9342475245	8334306.988346534	6618643.81547	1177856568.2970297	19243672.315049503	8334305.508830005	19243684.476534642	1179375911.5148516	0.00663355390211	502031044.811
6	nan	nan	1	1	32.0	32.0	32.0	1.012	1.92005163786e-20	3.39910682138e-18	-1.92302948806e-20	1.0	1.50750341372e-17	3.92904587108e-20	1.65324039538e-19	1.0	1955230297.7	7920145.39434	9158842.64423	7826234.13847	1457657967.61	20188820.1734	9050238.81654	20188840.0295	1459690843.96	0.011928570865273812	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	1955230297.7	7826230.626818182	9050239.767025692	7826234.138469999	1440373485.7806323	19949427.04881423	9050238.816540005	19949446.669466425	1442382256.8774703	0.00795238057685	515432588.012
7	nan	nan	1	1	32.0	32.0	32.0	1.014	-3.81785211724e-20	1.00209291616e-18	-3.47167703089e-20	1.0	-5.4234096862e-19	6.26868487466e-20	2.04593198348e-19	1.0	2230246075.1	8853912.62076	9738727.37197	8731667.93689	1726487224.17	20866787.4212	9604261.3232	20866809.3437	1728915221.41	0.013902905168991434	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	2230246075.1000004	8731669.251242604	9604267.625216963	8731667.93689	1702650122.4556215	20578685.819723867	9604261.323200002	20578707.43954635	1705044597.0512822	0.00926860344599	528086931.965
8	nan	nan	1	1	32.0	32.0	32.0	1.016	-1.14551279949e-19	-1.25120150092e-17	-4.40870722879e-20	1.0	2.37141266526e-18	8.58985707106e-20	-6.74896661782e-21	1.0	2504429439.57	9624877.52766	10234349.0736	9473300.91534	1996027388.21	21490847.2754	10073155.5288	21490894.2747	1998762525.28	0.015873349156290163	0.0	0.0	0.0	4.440892098500625e-16	0.0	0.0	0.0	4.440892098500625e-16	2504429439.57	9473304.653208662	10073178.222047243	9473300.91534	1964593886.0334647	21152408.735629924	10073155.528799975	21152454.99478347	1967285950.0787401	0.0105822327709	540270592.183
9	nan	nan	1	1	32.0	32.0	32.0	1.018	-3.91756874008e-20	-3.19622754127e-18	-4.70053654889e-20	1.0	-1.0538363722e-19	3.85283151739e-20	-2.76959921417e-19	1.0	2777883697.41	10294623.7341	10678295.9382	10112650.5408	2266208938.96	22069546.9032	10489510.3893	22069547.0272	2269203177.78	0.017839918128331016	0.0	0.0	0.0	-2.2204460492503136e-16	0.0	0.0	0.0	-2.2204460492503136e-16	2777883697.41	10112596.988310412	10489485.204518665	10112650.5408	2226138446.9155207	21679319.158349704	10489510.389299992	21679319.280157167	2229079742.416503	0.0118932787522	552137201.84
